Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('LECO', 'MXL')","('Lincoln Electric Holdings Inc', 'MaxLinear Inc')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('MOS', 'MXL')","('The Mosaic Co', 'MaxLinear Inc')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('LECO', 'SCHW')","('Lincoln Electric Holdings Inc', 'Charles Schwab Corp')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('LECO', 'RCII')","('Lincoln Electric Holdings Inc', 'Rent-A-Center Inc')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('MOS', 'RCII')","('The Mosaic Co', 'Rent-A-Center Inc')",0.058,"[('BOUT', 0.058)]",New,New+0.058
"('00016.HK', '00027.HK')","('Sun Hung Kai Properties Ltd', 'Galaxy Entertainment Group Ltd')",0.058,"[('FLHK', 0.058)]",New,New+0.058
"('ANSS', 'ZBRA')","('Ansys Inc', 'Zebra Technologies Corp')",0.058,"[('IQM', 0.058)]",New,New+0.058
"('ANSS', 'AXON')","('Ansys Inc', 'Axon Enterprise Inc')",0.058,"[('IQM', 0.058)]",New,New+0.058
"('MSI', 'OSK')","('Motorola Solutions Inc', 'Oshkosh Corp')",0.058,"[('VNMC', 0.058)]",New,New+0.058
"('CSTM', 'OSK')","('Constellium SE A', 'Oshkosh Corp')",0.058,"[('VNMC', 0.058)]",New,New+0.058
