Symbol,Name,SumWeights,DiffEntries,DiffValue
ADYEY,Adyen NV ADR,0.025999999,-15,0.0
JBH.AX,JB Hi Fi Ltd,0.025999999,-15,0.0
KEY,KeyCorp,0.025999999,-15,0.0
3023.TW,Sinbon Electronics Co Ltd,0.0259,-16,0.0
RHM.DE,Rheinmetall AG,0.025899999,-15,0.0
PCI,PIMCO Dynamic Credit and Mortgage Inc,0.025899999,-15,0.0
MVRXX,Morgan Stanley Instl Lqudty Govt Instl,0.025799999,-15,0.0
ICP.L,Intermediate Capital Group PLC,0.0257,-14,0.0
GWRE,Guidewire Software Inc,0.0257,-14,0.0
ULTA,Ulta Beauty Inc,0.0257,-14,0.0
MNG.L,M&G PLC Ordinary Shares,0.025599999399999997,-13,0.0
SULA11.SA,Sul America SA Ctf de Deposito de Acoes Cons of 1 Sh ' 2 Pfd Shs,0.0254,-13,0.0
APLE,Apple Hospitality REIT Inc,0.0254,-13,0.0
CSTM,Constellium SE A,0.0254,-13,0.0
VICR,Vicor Corp,0.0253,-13,0.0
02601,China Pacific Insurance (Group) Co Ltd Class H,0.0252,-13,0.0
EWJ,iShares MSCI Japan Index Fund,0.0252,-13,0.0
FTIU21,AEX Index Future Sept 21,0.0252,-13,0.0
INNPE,Summit Hotel Properties Inc 6.25% PRF PERPETUAL USD 25 - Ser E,0.0252,-13,0.0
HUBG,Hub Group Inc Class A,0.0252,-13,0.0
BBIO,BridgeBio Pharma Inc,0.0251,-13,0.0
PLYM,Plymouth Industrial REIT Inc,0.0251,-13,0.0
CUBI,Customers Bancorp Inc,0.0251,-13,0.0
034020.KS,Doosan Heavy Industries & Construction Co Ltd,0.0251,-13,0.0
03818,China Dongxiang (Group) Co Ltd,0.025099999999999997,-13,0.0
CSGS,CSG Systems International Inc,0.025099998999999998,-13,0.0
OIBR.C.SA,Oi SA ADR,0.025,-13,0.0
UNVR,PT Unilever Indonesia Tbk,0.025,-13,0.0
INFO.TO,IHS Markit Ltd,0.025,-13,0.0
CLNYPI,Colony Capital Inc Cum Conv Red Perp Pfd Registered Shs Series -I-,0.025,-14,0.0
GDP,Goodrich Petroleum Corp,0.0249,-14,0.0
CORE,Core-Mark Holding Co Inc,0.0249,-14,0.0
MFG.AX,Magellan Financial Group Ltd,0.0248,-14,0.0
FLT.AX,Flight Centre Travel Group Ltd,0.0248,-14,0.0
YDUQ3.SA,YDUQS Participacoes SA,0.0248,-14,0.0
NTGY.BC,Naturgy Energy Group SA,0.0248,-14,0.0
IVRPB,Invesco Mortgage Capital Inc Cum Red Pfd Shs Series -B-,0.0248,-14,0.0
CTC.A.TO,Canadian Tire Corp Ltd Class A,0.0247000003,-14,0.0
NRE,National Real Estate Co KSC,0.0247,-14,0.0
ITGR,Integer Holdings Corp,0.0247,-14,0.0
ECOL,US Ecology Inc,0.0247,-14,0.0
BACPO,Bank of America Corp PRF PERPETUAL USD 25 - Ser NN,0.024600001,-13,0.0
PSBPZ,PS Business Parks Inc PRF PERPETUAL USD 25 Dp ShRp 1/1000 Ser Z,0.024600001,-13,0.0
SHAK,Shake Shack Inc A,0.024600001,-13,0.0
